cve_ent,cve_mun,cve_loc,cve_ageb,nomloc
10,14,42,921,El Troncón
10,14,107,1012,Sombrero Quemado
10,15,19,350,Paso Nacional
10,16,31,220,Lauro del Villar
10,16,47,254,Revolución Social
10,17,28,618,Ojos Azules (Campo Alegre)
10,18,5,687,Campo Agrario (El Bronco)
10,18,11,691,Emiliano Martínez (Torres)
10,18,46,545,Santa Gertrudis (Tules)
10,19,135,133,Macho Bayo
10,19,173,203,Bajío de Vacas (Bajío de Atocha)
10,20,14,276,General Lázaro Cárdenas
10,20,20,261,Pánuco de Coronado
10,21,32,305,Yerbanís
10,22,3,247,Los Ángeles
10,22,6,247,Damián Carmona
10,22,9,285,La Joya
10,23,608,969,San Antonio y Anexos
10,23,689,969,Estación Coyotes (José María Morelos)
10,26,87,1085,San Luis de Villa Corona
10,26,444,1193,Neveros
10,27,4,366,La Barranca
10,27,32,347,Santo Niño
10,28,17,274,Pueblo Nuevo Francisco de Ibarra (El Crucero)
10,28,18,019A,Francisco Primo Verdad (Menores de Abajo)
10,28,22,236,José María Patoni (Menores de Arriba)
10,28,37,289,El Saucito
10,28,42,221,Toledo
10,30,32,249,Santo Domingo
10,32,14,879,Atotonilco
10,32,18,296,Lozano Zavala (La Campana)
10,32,44,296,El Encinal
10,32,91,296,Providencia
10,32,102,296,El Salvador
10,32,119,915,San Julián
10,32,142,1218,San Pedro de Tenerapa
10,32,707,972,Presa de la Máquina
10,36,9,789,Banco Nacional
10,36,38,628,Morelos (La Loma Yermo) [Granja]
10,36,107,740,San Miguel del Real
10,36,119,076A,La Sierrita
10,38,3,54,Graceros
10,38,7,54,San Francisco Javier
10,38,9,139,San José de las Corrientes
10,38,12,143,Estación Vicente Guerrero
10,39,11,102,Campo Limpio
10,39,13,117,Valle de Flores (Cantarranas)
10,39,22,121,Fuente del Llano (Santiaguillo)
10,39,27,117,Jardín de Flores
10,39,33,121,Melchor Ocampo (El Trébol)
10,39,37,140,Nueva Esperanza (Cuernavaca)
10,39,43,102,Patio de Flores
10,39,121,009A,Nuevo Patio de Flores
10,39,136,009A,Corona del Valle (San Juan Nuevo)
10,39,144,102,Campo de Gracia
11,1,40,78,Las Estacas
11,1,56,25,Horta (San Antonio de Horta)
11,1,58,25,Estación Joaquín
11,1,73,25,Marfil
11,1,171,003A,Soledad de Negrete
11,1,175,78,La Tinaja de Negrete
11,1,221,25,San Rafael de Horta
11,1,247,44,San José de González
11,1,248,44,Miraflores
11,2,3,145,Agua Caliente
11,2,6,198,Arroyo de la Luna
11,2,9,015A,La Cañada
11,2,12,18,La Concepción
11,2,22,75,Los Fresnos
11,2,23,37,Gaytán del Refugio
11,2,28,37,Jaral del Refugio
11,2,46,179,Pantaleón
11,2,50,60,Las Partidas
11,2,54,198,La Presa de Santa Inés
11,2,56,18,Providencia de San Agustín
11,2,63,18,San Agustín
11,2,67,60,San Diego de Alcalá (Hacienda de San Diego)
11,2,88,179,La Soledad
11,2,104,18,Puerto Ferrer
11,2,106,75,Las Trancas (Los Milagros)
11,3,15,53,Santuario de Atotonilco
11,3,24,208,Begoña del Progreso
11,3,35,212,Calderón
11,3,55,34,El Carmen
11,3,70,157,Clavellinas (Clavellinas Coyotes)
11,3,103,227,Fajardo de Bocas
11,3,104,231,Fajardo de Támbula
11,3,105,180,Flores de Begoña
11,3,121,246,El Herrero
11,3,132,002A,Los Juárez
11,3,195,180,Pantoja
11,3,210,49,Presita de Santa Rosa
11,3,236,15,Rancho Viejo
11,3,240,15,Los Ricos de Abajo
11,3,274,195,San Isidro de la Cañada de la Virgen
11,3,368,208,Presa Allende
11,3,539,142,Zirándaro [Fraccionamiento]
11,3,576,142,San Valente
11,3,587,53,Esperanza
